sample.id,age,donor.id,sex,tissue,mm10
MACA_18m_M_SCAT_53,18m,18-M-53,male,Fat,mm10
MACA_18m_M_SCAT_52,18m,18-M-52,male,Fat,mm10
MACA_18m_M_MAT_52,18m,18-M-52,male,Fat,mm10
MACA_18m_F_MAT_50,18m,18-F-50,female,Fat,mm10
MACA_18m_F_SCAT_50,18m,18-F-50,female,Fat,mm10
MACA_21m_F_SCAT_54,21m,21-F-54,female,Fat,mm10
MACA_21m_F_SCAT_55,21m,21-F-55,female,Fat,mm10
10X_P3_2,30m,30-M-5,male,Fat,mm10
10X_P5_12,1m,1-M-63,male,Heart_and_Aorta,mm10
10X_P7_4,3m,3-F-56,female,Heart_and_Aorta,mm10
MACA_18m_F_AORTA_50,18m,18-F-50,female,Heart_and_Aorta,mm10
MACA_18m_M_AORTA_52,18m,18-M-52,male,Heart_and_Aorta,mm10
10X_P1_4,30m,30-M-2,male,Heart_and_Aorta,mm10
10X_P1_11,30m,30-M-3,male,Heart_and_Aorta,mm10
10X_P1_3,30m,30-M-2,male,Heart_and_Aorta,mm10
10X_P1_12,30m,30-M-3,male,Heart_and_Aorta,mm10
10X_P5_7,1m,1-M-63,male,Liver,mm10
10X_P7_0,3m,3-F-56,female,Liver,mm10
10X_P7_1,3m,3-F-57,female,Liver,mm10
10X_P4_2,3m,3-M-8/9,male,Liver,mm10
MACA_18m_F_LIVER_NPC_51,18m,18-F-51,female,Liver,mm10
MACA_18m_F_LIVER_HEPATOCYTES_51,18m,18-F-51,female,Liver,mm10
10X_P1_16,30m,30-M-3,male,Liver,mm10
10X_P2_3,30m,30-M-4,male,Liver,mm10
10X_P2_11,30m,30-M-5,male,Liver,mm10
10X_P5_10,1m,1-M-62,male,Marrow,mm10
10X_P5_15,1m,1-M-63,male,Marrow,mm10
10X_P7_2,3m,3-F-56,female,Marrow,mm10
10X_P7_3,3m,3-F-57,female,Marrow,mm10
MACA_18m_F_BM_50,18m,18-F-50,female,Marrow,mm10
MACA_18m_M_BM_52,18m,18-M-52,male,Marrow,mm10
MACA_18m_F_BM_51,18m,18-F-51,female,Marrow,mm10
MACA_18m_M_BM_53,18m,18-M-53,male,Marrow,mm10
MACA_21m_F_BM_55,21m,21-F-55,female,Marrow,mm10
MACA_21m_F_BM_54,21m,21-F-54,female,Marrow,mm10
MACA_24m_M_BM_59,24m,24-M-59,male,Marrow,mm10
MACA_24m_M_BM_60,24m,24-M-60,male,Marrow,mm10
MACA_24m_M_BM_58,24m,24-M-58,male,Marrow,mm10
MACA_24m_M_BM_61,24m,24-M-61,male,Marrow,mm10
10X_P1_13,30m,30-M-3,male,Marrow,mm10
10X_P1_5,30m,30-M-2,male,Marrow,mm10
10X_P3_5,30m,30-M-5,male,Marrow,mm10
10X_P5_11,1m,1-M-63,male,Spleen,mm10
10X_P7_6,3m,3-F-56,female,Spleen,mm10
10X_P4_7,3m,3-M-8,male,Spleen,mm10
MACA_18m_F_SPLEEN_51,18m,18-F-51,female,Spleen,mm10
MACA_18m_F_SPLEEN_50,18m,18-F-50,female,Spleen,mm10
MACA_21m_F_SPLEEN_54,21m,21-F-54,female,Spleen,mm10
MACA_21m_F_SPLEEN_55,21m,21-F-55,female,Spleen,mm10
MACA_24m_M_SPLEEN_59,24m,24-M-59,male,Spleen,mm10
MACA_24m_M_SPLEEN_58,24m,24-M-58,male,Spleen,mm10
10X_P1_2,30m,30-M-2,male,Spleen,mm10
10X_P2_1,30m,30-M-4,male,Spleen,mm10
10X_P3_6,30m,30-M-5,male,Spleen,mm10
10X_P1_10,30m,30-M-3,male,Spleen,mm10
TSP14_Spleen_NA_10X_1_1,59y,TSP14,male,Spleen,hg19
